City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yermentau,51.6214,73.1069,24.01,45,100,7.02,KZ,1687140065
83,puerto real,36.5282,-6.1901,22.36,88,0,3.6,ES,1687140066
84,stanley,54.868,-1.6985,14.74,94,75,1.54,GB,1687140066
85,kabo,7.6994,18.629,22.16,97,100,1.52,CF,1687140066
86,mejit,10.2753,170.8646,28.05,76,25,7.29,MH,1687140067
87,cururupu,-1.8283,-44.8683,22.72,98,10,0.95,BR,1687140067
88,isafjordur,66.0755,-23.124,7.28,76,100,1.33,IS,1687140067
89,labytnangi,66.6572,66.4183,6.81,73,89,3.47,RU,1687140068
90,keren,15.7778,38.4581,22.06,57,56,1.96,ER,1687140068
91,muisne,0.6,-80.0333,26.16,87,54,3.61,EC,1687140068
92,lahij,13.1667,44.5833,29.62,47,54,1.01,YE,1687140068
93,tshela,-4.9833,12.9333,20.74,97,99,0.83,CD,1687140069
94,kalabo,-14.97,22.6814,9.81,37,0,2.23,ZM,1687140069
95,ilulissat,69.2167,-51.1,3.01,75,28,1.03,GL,1687140069
96,hadibu,12.65,54.0333,26.48,81,26,7.24,YE,1687140069
97,suva,-18.1416,178.4415,25.71,65,75,2.57,FJ,1687139962
98,mikumi,-7.4041,36.9831,16.52,89,1,1.36,TZ,1687140070
99,kamenica,50.8333,12.9167,16.79,78,86,2.71,DE,1687140070
100,hermanus,-34.4187,19.2345,13.51,90,100,13.84,ZA,1687140070
101,mogocha,53.7333,119.7667,14.08,94,100,1.73,RU,1687140071
102,kirakira,-10.4544,161.9205,28.12,81,95,3.82,SB,1687140071
103,san patricio,28.017,-97.5169,30.92,82,0,7.0,US,1687140071
104,oum hadjer,13.2954,19.6966,31.7,30,96,1.11,TD,1687140034
105,ylitornio,66.3089,23.6773,14.43,75,44,0.73,FI,1687140071
106,ushuaia,-54.8,-68.3,1.81,69,40,2.06,AR,1687140072
107,andergrove,-21.0833,149.1833,25.91,72,39,2.86,AU,1687140072
108,birnin kudu,11.4459,9.4984,28.56,54,99,2.71,NG,1687140072
109,badger,64.8,-147.5333,19.14,44,100,5.66,US,1687140072
110,darwin,-12.4611,130.8418,28.83,54,0,5.66,AU,1687139867
111,iskateley,67.6803,53.1512,3.3,72,100,5.07,RU,1687140073
112,taro,-8.3862,115.28,23.0,41,2,0.34,ID,1687140073
113,dudinka,69.4058,86.1778,2.57,99,100,4.37,RU,1687140073
114,adrar,20.5022,-10.0711,30.9,14,0,5.25,MR,1687140073
115,wailua homesteads,22.0669,-159.378,26.74,68,14,1.34,US,1687140074
116,kodiak,57.79,-152.4072,15.13,62,19,1.17,US,1687140074
117,ballycastle,55.2044,-6.243,13.91,93,100,2.44,GB,1687140074
118,borogontsy,62.6683,131.1683,24.89,43,100,5.17,RU,1687140074
119,howrah,22.5892,88.3103,27.0,89,100,7.72,IN,1687140074
120,ola,59.5833,151.2833,16.19,81,54,2.54,RU,1687140075
121,buka,40.8108,69.1986,29.99,27,30,1.59,UZ,1687140075
122,nabire,-3.3667,135.4833,29.11,71,94,1.12,ID,1687140075
123,bethel,41.3712,-73.414,21.97,77,20,1.54,US,1687139934
124,newman,37.3138,-121.0208,28.49,42,7,1.34,US,1687140076
125,birobidzhan,48.8,132.95,25.22,53,4,1.06,RU,1687140076
126,howard springs,-12.497,131.047,28.79,45,100,3.42,AU,1687140076
127,taroa,8.7058,171.2275,28.41,76,39,7.01,MH,1687140076
128,labrador city,52.9463,-66.9114,9.95,71,100,1.54,CA,1687140076
129,hit,33.6416,42.8251,26.64,30,0,4.02,IQ,1687140077
130,fort st. john,56.2499,-120.8529,14.94,55,100,4.12,CA,1687140077
131,nova vicosa,-17.8919,-39.3719,22.75,85,11,5.2,BR,1687140077
132,port victoria,0.0939,33.9756,20.4,81,36,3.16,KE,1687140077
133,carutapera,-1.195,-46.02,24.03,94,6,1.83,BR,1687140078
134,puerto ayora,-0.7393,-90.3518,25.31,92,62,3.13,EC,1687140078
135,ziar nad hronom,48.5918,18.8496,13.01,84,4,1.56,SK,1687140078
136,afaahiti,-17.75,-149.2833,27.93,75,20,4.13,PF,1687140078
137,perugorria,-29.3413,-58.6106,9.82,82,11,4.18,AR,1687140078
138,chhor,25.5167,69.7667,28.96,74,82,9.29,PK,1687140079
139,karratha,-20.7377,116.8463,17.1,85,98,8.45,AU,1687140079
140,queenstown,-31.8976,26.8753,7.57,43,3,3.47,ZA,1687140079
141,las palmas,28.4204,-14.0131,20.44,73,0,3.09,ES,1687140079
142,brookings,44.3114,-96.7984,25.19,61,0,4.12,US,1687139834
143,longyearbyen,78.2186,15.6401,4.91,93,75,1.03,SJ,1687140080
144,idri,27.5,13.2667,24.75,21,0,4.7,LY,1687140080
145,mariana,-20.3778,-43.4161,13.96,97,0,0.85,BR,1687140080
146,atafu village,-8.5421,-172.5159,28.64,73,80,5.01,TK,1687140080
147,naze,28.3667,129.4833,24.51,93,100,1.77,JP,1687140081
